"Emisora","Participación_en_índice","Retorno_semanal","Cierre_previo","Cierre_último","MarketCap_previo_MXN_Millones","MarketCap_último_MXN_Millones","Variación_MarketCap","Min_1_año","Min_1_año_MXN","Variación_desde_min","Max_1_año","Max_1_año_MXN","Variación_desde_max","Retorno_2020","Retorno_1año"
"Alfa",1.710000038,-0.42,14.24,14.18,69907.16,69612.61,-294.550000000003,"3/31/2020",6.4,121.5625,"9/23/2019",17.83,-20.4711160964666,-9.57,-9.97
"Alsea",0.469999999,2.98,21.13,21.76,17599.59,18124.33,524.740000000002,"4/14/2020",14.11,54.2168674698795,"12/2/2019",53.67,-59.4559344140116,-56.33,-47.31
"America Movil",13.77999973,-2.32,14.24,13.91,946993.59,925451.02,-21542.5699999999,"4/16/2020",12.82,8.50234009360373,"3/4/2020",16.79,-17.1530673019655,-7.88,5.54
"Arca Continental",1.99000001,-2.28,107.48,105.03,189625.15,185302.66,-4322.48999999999,"4/23/2020",88.9,18.1439820022497,"2/20/2020",111.45,-5.76043068640646,5.05,4.26
"Asureste",2.130000114,-5.92,255.45,240.33,76635,72099,-4536,"4/3/2020",206.18,16.5631972063246,"1/15/2020",393.25,-38.8862047043865,-32.12,-14.22
"Banco Del Bajio",0.560000002,-1.94,18.07,17.72,21502.07,21085.59,-416.48,"8/4/2020",16.89,4.91415038484309,"9/13/2019",34.99,-49.3569591311803,-44.05,-46.4
"Banco Santander Serfin",0.370000005,-4.38,15.54,14.86,105469.89,100854.74,-4615.14999999999,"4/22/2020",12.6,17.9365079365079,"2/11/2020",29.67,-49.9157398045163,-42.47,-41.08
"Bimbo",2.700000048,3.64,41.45,42.96,187995.81,194844.39,6848.58000000002,"3/9/2020",26.95,59.4063079777366,"8/19/2020",44.86,-4.23539901917075,24.77,29.63
"Bolsa Mexicana Val",0.899999976,-0.57,47.12,46.85,27941.64,27781.53,-160.110000000001,"3/24/2020",28.69,63.2973161380272,"8/11/2020",50.82,-7.81188508461236,13.33,34.01
"Cemex",4.909999847,0.93,7.5,7.57,110467.28,111498.31,1031.03,"4/3/2020",4.21,79.8099762470309,"1/28/2020",8.07,-6.19578686493185,6.92,24.92
